Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,B365>2.5,B365<2.5
SP1,25/01/2024,15:00,Leganes,Valencia,1,0,H,0,0,D,Test Ref,14,19,7,7,18,8,2,2,3,1,0,0,3.49,3.21,3.56,3.49,3.21,3.56,2.41,1.93,2.41,1.93
SP1,01/01/2024,15:00,Betis,Sevilla,0,1,A,0,0,D,Test Ref,5,15,2,7,15,14,11,4,4,2,0,0,3.96,3.99,3.95,3.96,3.99,3.95,1.61,2.05,1.61,2.05
SP1,23/01/2024,15:00,Ath Bilbao,Girona,1,1,D,1,0,H,Test Ref,11,19,5,10,6,7,5,4,0,3,0,0,3.29,4.47,1.47,3.29,4.47,1.47,2.19,2.04,2.19,2.04
SP1,03/01/2024,15:00,Las Palmas,Celta,1,0,H,1,0,H,Test Ref,5,19,2,4,15,12,11,6,2,4,0,0,2.02,2.54,2.22,2.02,2.54,2.22,1.99,1.93,1.99,1.93
SP1,15/01/2024,15:00,Espanol,Vallecano,1,1,D,0,0,D,Test Ref,23,24,7,4,15,9,8,3,3,3,0,0,1.87,3.36,1.67,1.87,3.36,1.67,1.83,1.42,1.83,1.42
SP1,01/01/2024,15:00,Mallorca,Real Madrid,6,1,H,1,1,D,Test Ref,12,8,5,2,14,8,6,2,4,1,0,1,2.3,3.34,1.78,2.3,3.34,1.78,1.51,2.39,1.51,2.39
SP1,12/01/2024,15:00,Ath Madrid,Osasuna,0,0,D,0,0,D,Test Ref,7,8,3,4,19,12,5,7,4,3,0,0,5.64,2.55,4.6,5.64,2.55,4.6,1.76,1.6,1.76,1.6
SP1,11/01/2024,15:00,Valladolid,Getafe,1,0,H,0,0,D,Test Ref,9,22,5,4,17,5,2,8,2,1,0,0,1.65,3.81,3.63,1.65,3.81,3.63,1.43,2.47,1.43,2.47
SP1,17/01/2024,15:00,Real Sociedad,Villarreal,1,1,D,1,1,D,Test Ref,11,20,6,7,14,18,4,4,1,1,0,0,4.58,4.19,2.33,4.58,4.19,2.33,1.59,1.48,1.59,1.48
SP1,02/01/2024,15:00,Barcelona,Alaves,0,0,D,0,0,D,Test Ref,19,20,6,10,15,10,10,5,3,1,0,0,2.05,4.49,4.81,2.05,4.49,4.81,1.85,2.31,1.85,2.31
SP1,17/02/2024,15:00,Betis,Osasuna,1,1,D,1,1,D,Test Ref,20,17,11,10,18,16,2,8,1,0,0,0,3.84,3.71,4.62,3.84,3.71,4.62,1.75,2.17,1.75,2.17
SP1,27/02/2024,15:00,Valladolid,Las Palmas,2,1,H,0,1,A,Test Ref,15,21,4,6,13,8,9,4,3,2,0,0,1.43,4.08,4.56,1.43,4.08,4.56,1.69,2.2,1.69,2.2
SP1,03/02/2024,15:00,Leganes,Valencia,1,0,H,1,0,H,Test Ref,18,6,7,3,19,9,3,6,0,2,0,0,3.8,3.04,4.48,3.8,3.04,4.48,2.48,1.59,2.48,1.59
SP1,10/02/2024,15:00,Sevilla,Mallorca,3,0,H,3,0,H,Test Ref,7,11,2,5,17,19,7,9,1,2,0,0,2.79,4.29,3.37,2.79,4.29,3.37,1.85,1.44,1.85,1.44
SP1,09/02/2024,15:00,Ath Bilbao,Vallecano,2,1,H,2,1,H,Test Ref,11,19,3,10,18,12,4,2,1,2,0,0,5.98,4.22,1.51,5.98,4.22,1.51,2.45,2.07,2.45,2.07
SP1,19/02/2024,15:00,Getafe,Barcelona,1,0,H,1,0,H,Test Ref,5,13,2,6,11,8,10,9,0,3,0,0,1.68,2.97,2.12,1.68,2.97,2.12,2.47,1.72,2.47,1.72
SP1,07/02/2024,15:00,Real Madrid,Alaves,1,2,A,0,0,D,Test Ref,15,8,8,3,13,19,9,2,3,3,0,0,4.71,3.98,5.98,4.71,3.98,5.98,2.28,2.31,2.28,2.31
SP1,05/02/2024,15:00,Girona,Ath Madrid,1,2,A,1,0,H,Test Ref,6,11,2,3,8,6,8,8,4,2,0,1,3.3,3.96,5.89,3.3,3.96,5.89,2.26,2.04,2.26,2.04
SP1,16/02/2024,15:00,Real Sociedad,Villarreal,0,5,A,0,0,D,Test Ref,21,17,4,7,13,13,2,9,3,0,0,0,4.27,3.65,3.52,4.27,3.65,3.52,2.33,2.11,2.33,2.11
