Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,B365>2.5,B365<2.5
E0,16/01/2024,15:00,Newcastle,Southampton,2,2,D,1,1,D,Test Ref,9,18,3,4,10,7,3,2,4,3,0,0,1.56,3.9,4.19,1.56,3.9,4.19,1.61,1.92,1.61,1.92
E0,03/01/2024,15:00,Aston Villa,Tottenham,1,0,H,1,0,H,Test Ref,17,16,10,4,6,11,10,10,1,3,0,0,3.21,3.38,4.24,3.21,3.38,4.24,2.25,1.44,2.25,1.44
E0,17/01/2024,15:00,Wolves,West Ham,0,0,D,0,0,D,Test Ref,9,14,4,3,15,6,2,4,1,1,0,0,2.52,3.51,4.97,2.52,3.51,4.97,2.37,2.32,2.37,2.32
E0,28/01/2024,15:00,Liverpool,Leicester,2,1,H,1,1,D,Test Ref,15,6,4,2,14,6,7,7,0,1,0,0,3.15,3.17,1.27,3.15,3.17,1.27,1.57,1.86,1.57,1.86
E0,04/01/2024,15:00,Everton,Brighton,0,1,A,0,0,D,Test Ref,20,22,7,6,18,14,11,6,2,4,0,0,4.98,2.96,3.55,4.98,2.96,3.55,1.79,2.31,1.79,2.31
E0,05/01/2024,15:00,Brentford,Man United,1,2,A,1,2,A,Test Ref,11,19,4,10,7,7,6,4,0,2,0,0,5.25,3.88,2.62,5.25,3.88,2.62,2.4,1.7,2.4,1.7
E0,21/01/2024,15:00,Arsenal,Crystal Palace,1,1,D,1,0,H,Test Ref,16,10,4,3,17,11,4,2,4,4,0,0,5.78,3.46,4.56,5.78,3.46,4.56,2.41,1.81,2.41,1.81
E0,20/01/2024,15:00,Chelsea,Bournemouth,0,2,A,0,0,D,Test Ref,13,21,6,4,17,7,2,7,2,4,0,0,3.24,3.35,1.88,3.24,3.35,1.88,1.96,2.05,1.96,2.05
E0,15/01/2024,15:00,Nott'm Forest,Man City,1,0,H,0,0,D,Test Ref,22,18,6,3,7,18,9,2,2,4,0,0,2.19,4.3,3.71,2.19,4.3,3.71,1.53,1.84,1.53,1.84
E0,10/01/2024,15:00,Fulham,Ipswich,1,2,A,0,0,D,Test Ref,21,18,7,7,13,5,3,7,1,4,0,1,4.72,2.65,4.22,4.72,2.65,4.22,2.27,1.55,2.27,1.55
E0,10/02/2024,15:00,Aston Villa,Arsenal,3,1,H,0,1,A,Test Ref,8,16,4,7,18,19,11,7,4,0,0,0,1.71,3.48,4.89,1.71,3.48,4.89,1.64,1.7,1.64,1.7
E0,28/02/2024,15:00,Newcastle,Bournemouth,0,0,D,0,0,D,Test Ref,19,6,6,3,8,11,7,6,2,1,0,0,2.09,3.86,3.76,2.09,3.86,3.76,1.97,1.68,1.97,1.68
E0,25/02/2024,15:00,West Ham,Crystal Palace,2,1,H,2,0,H,Test Ref,12,5,2,1,18,8,3,10,3,0,0,0,1.85,2.97,4.93,1.85,2.97,4.93,2.47,1.91,2.47,1.91
E0,01/02/2024,15:00,Brentford,Leicester,3,2,H,1,2,A,Test Ref,16,7,6,2,18,10,11,6,2,4,0,0,3.78,4.04,4.37,3.78,4.04,4.37,1.85,2.38,1.85,2.38
E0,12/02/2024,15:00,Chelsea,Fulham,2,0,H,1,0,H,Test Ref,20,23,10,8,19,16,11,6,3,0,0,0,4.19,2.51,1.41,4.19,2.51,1.41,2.39,1.98,2.39,1.98
E0,25/02/2024,15:00,Man City,Southampton,3,1,H,0,1,A,Test Ref,13,10,6,4,18,9,10,6,4,4,0,0,3.68,3.03,2.21,3.68,3.03,2.21,2.06,1.5,2.06,1.5
E0,19/02/2024,15:00,Liverpool,Ipswich,3,3,D,1,0,H,Test Ref,11,20,3,9,15,16,9,3,1,3,0,0,4.46,4.16,1.4,4.46,4.16,1.4,1.43,1.81,1.43,1.81
E0,27/02/2024,15:00,Wolves,Man United,2,3,A,0,0,D,Test Ref,20,10,10,3,18,10,11,3,3,0,0,0,2.66,3.59,1.3,2.66,3.59,1.3,1.97,2.1,1.97,2.1
E0,15/02/2024,15:00,Everton,Brighton,0,3,A,0,0,D,Test Ref,19,17,4,9,12,8,2,9,4,3,0,0,2.5,3.52,3.31,2.5,3.52,3.31,1.96,2.14,1.96,2.14
E0,23/02/2024,15:00,Nott'm Forest,Tottenham,2,0,H,2,0,H,Test Ref,10,17,4,4,15,14,6,3,2,2,0,0,3.33,2.87,3.53,3.33,2.87,3.53,2.31,2.45,2.31,2.45
E0,10/03/2024,15:00,Ipswich,Everton,3,1,H,0,1,A,Test Ref,18,13,10,4,15,10,5,10,3,0,0,0,3.62,2.53,1.23,3.62,2.53,1.23,1.66,1.51,1.66,1.51
E0,17/03/2024,15:00,Man United,Leicester,0,0,D,0,0,D,Test Ref,13,17,7,7,17,5,7,10,2,1,0,0,2.85,4.29,2.6,2.85,4.29,2.6,2.02,1.51,2.02,1.51
E0,28/03/2024,15:00,Wolves,Brighton,0,0,D,0,0,D,Test Ref,7,11,3,6,9,11,5,4,4,3,0,0,3.35,4.05,3.73,3.35,4.05,3.73,1.75,1.68,1.75,1.68
E0,14/03/2024,15:00,Liverpool,Aston Villa,0,2,A,0,2,A,Test Ref,17,9,4,2,7,11,5,7,3,1,0,0,5.9,3.68,3.87,5.9,3.68,3.87,2.12,1.95,2.12,1.95
E0,23/03/2024,15:00,Nott'm Forest,Man City,1,1,D,0,1,A,Test Ref,16,13,9,7,5,5,11,2,3,0,0,0,3.55,3.32,2.21,3.55,3.32,2.21,1.93,1.78,1.93,1.78
E0,06/03/2024,15:00,Fulham,Southampton,1,0,H,0,0,D,Test Ref,19,18,5,8,12,16,7,6,2,1,0,0,4.65,2.65,5.14,4.65,2.65,5.14,1.94,2.33,1.94,2.33
E0,18/03/2024,15:00,Newcastle,Chelsea,2,0,H,0,0,D,Test Ref,16,8,7,4,11,14,9,9,4,4,0,0,4.94,4.07,3.69,4.94,4.07,3.69,2.34,1.83,2.34,1.83
E0,09/03/2024,15:00,Bournemouth,Arsenal,0,1,A,0,0,D,Test Ref,20,7,11,3,6,16,5,8,2,2,1,0,3.14,3.39,5.39,3.14,3.39,5.39,1.91,1.42,1.91,1.42
E0,08/03/2024,15:00,Tottenham,Crystal Palace,1,0,H,0,0,D,Test Ref,12,10,5,4,16,5,8,11,3,2,0,0,2.02,2.77,4.23,2.02,2.77,4.23,1.73,1.42,1.73,1.42
E0,05/03/2024,15:00,Brentford,West Ham,0,3,A,0,1,A,Test Ref,12,24,6,8,12,15,5,10,4,4,0,0,4.47,4.29,5.48,4.47,4.29,5.48,2.47,2.17,2.47,2.17
E0,10/04/2024,15:00,Brentford,Leicester,1,1,D,1,1,D,Test Ref,22,5,4,1,7,10,11,5,0,0,0,0,5.92,2.54,4.56,5.92,2.54,4.56,1.68,1.44,1.68,1.44
E0,28/04/2024,15:00,Nott'm Forest,Man United,2,1,H,0,0,D,Test Ref,17,11,6,5,7,16,7,5,4,0,0,0,5.1,3.72,4.94,5.1,3.72,4.94,2.19,1.95,2.19,1.95
E0,15/04/2024,15:00,Southampton,West Ham,3,1,H,0,1,A,Test Ref,12,9,3,5,15,19,7,8,2,4,0,0,5.14,4.07,3.81,5.14,4.07,3.81,1.57,1.68,1.57,1.68
E0,06/04/2024,15:00,Aston Villa,Fulham,2,1,H,2,1,H,Test Ref,16,22,5,12,12,12,2,6,2,1,0,0,4.99,3.35,5.04,4.99,3.35,5.04,1.68,1.86,1.68,1.86
E0,25/04/2024,15:00,Man City,Chelsea,0,0,D,0,0,D,Test Ref,19,24,10,11,18,6,11,9,2,3,0,0,3.2,3.2,5.32,3.2,3.2,5.32,1.54,2.02,1.54,2.02
E0,28/04/2024,15:00,Liverpool,Everton,3,2,H,1,0,H,Test Ref,12,7,5,3,10,8,9,7,2,2,0,1,3.03,4.14,2.96,3.03,4.14,2.96,2.06,2.07,2.06,2.07
E0,21/04/2024,15:00,Brighton,Bournemouth,2,0,H,1,0,H,Test Ref,8,23,4,11,13,15,11,7,4,2,0,0,2.69,3.64,2.38,2.69,3.64,2.38,1.95,2.29,1.95,2.29
E0,13/04/2024,15:00,Ipswich,Crystal Palace,1,2,A,1,0,H,Test Ref,16,23,4,13,16,10,3,8,2,1,0,0,3.9,4.4,1.55,3.9,4.4,1.55,1.72,1.61,1.72,1.61
E0,24/04/2024,15:00,Newcastle,Tottenham,1,1,D,0,0,D,Test Ref,8,14,2,7,15,15,7,5,1,3,0,0,1.6,3.78,3.47,1.6,3.78,3.47,2.4,1.8,2.4,1.8
E0,14/04/2024,15:00,Arsenal,Wolves,1,0,H,1,0,H,Test Ref,11,18,4,10,7,17,3,8,0,1,0,0,2.41,3.24,1.3,2.41,3.24,1.3,1.98,1.96,1.98,1.96
E0,16/05/2024,15:00,Ipswich,Brentford,1,1,D,0,0,D,Test Ref,20,24,9,11,15,9,8,8,0,2,0,0,5.11,3.57,1.88,5.11,3.57,1.88,1.43,2.28,1.43,2.28
E0,01/05/2024,15:00,Leicester,Wolves,0,1,A,0,0,D,Test Ref,21,8,4,3,12,9,8,10,0,4,0,0,1.78,3.61,2.77,1.78,3.61,2.77,1.89,2.11,1.89,2.11
E0,06/05/2024,15:00,West Ham,Newcastle,1,1,D,1,0,H,Test Ref,22,7,9,1,10,9,6,6,3,1,0,0,3.25,3.16,1.63,3.25,3.16,1.63,2.02,1.93,2.02,1.93
E0,03/05/2024,15:00,Aston Villa,Man United,1,0,H,0,0,D,Test Ref,13,23,3,8,18,11,5,4,2,2,0,0,1.7,4.22,2.69,1.7,4.22,2.69,2.47,1.53,2.47,1.53
E0,13/05/2024,15:00,Man City,Arsenal,0,3,A,0,0,D,Test Ref,6,18,2,4,12,18,5,6,2,3,0,0,5.15,3.32,5.96,5.15,3.32,5.96,1.92,2.01,1.92,2.01
E0,02/05/2024,15:00,Liverpool,Nott'm Forest,1,0,H,0,0,D,Test Ref,8,23,3,10,17,15,10,7,3,3,0,0,3.91,2.92,5.75,3.91,2.92,5.75,1.77,1.76,1.77,1.76
E0,16/05/2024,15:00,Southampton,Bournemouth,2,0,H,2,0,H,Test Ref,8,24,2,6,14,12,5,8,3,1,0,0,1.47,3.48,3.98,1.47,3.48,3.98,2.08,1.85,2.08,1.85
E0,28/05/2024,15:00,Chelsea,Tottenham,1,2,A,1,1,D,Test Ref,12,20,4,6,16,7,7,10,0,1,0,0,2.94,3.14,5.49,2.94,3.14,5.49,1.95,2.06,1.95,2.06
E0,08/05/2024,15:00,Crystal Palace,Everton,2,1,H,0,1,A,Test Ref,17,13,7,3,10,11,7,10,0,2,0,0,2.27,4.0,3.3,2.27,4.0,3.3,2.18,2.02,2.18,2.02
E0,01/05/2024,15:00,Fulham,Brighton,1,1,D,1,0,H,Test Ref,12,21,6,6,6,6,7,11,2,4,0,0,3.49,3.95,2.98,3.49,3.95,2.98,1.6,1.89,1.6,1.89
E0,24/06/2024,15:00,Wolves,Chelsea,1,2,A,0,1,A,Test Ref,14,24,7,11,5,19,3,9,0,3,0,1,4.1,2.79,5.03,4.1,2.79,5.03,2.34,1.93,2.34,1.93
E0,17/06/2024,15:00,Brentford,Fulham,1,0,H,0,0,D,Test Ref,12,12,5,6,9,13,8,10,1,1,0,0,1.94,3.79,2.08,1.94,3.79,2.08,2.23,1.77,2.23,1.77
E0,03/06/2024,15:00,Leicester,Liverpool,0,3,A,0,1,A,Test Ref,10,6,4,2,9,19,7,6,3,2,0,1,2.64,4.0,5.01,2.64,4.0,5.01,1.62,2.45,1.62,2.45
E0,12/06/2024,15:00,Ipswich,Newcastle,1,2,A,1,0,H,Test Ref,9,12,2,3,18,10,2,11,3,4,0,0,5.22,2.63,5.72,5.22,2.63,5.72,2.48,1.5,2.48,1.5
E0,13/06/2024,15:00,Man City,Everton,0,0,D,0,0,D,Test Ref,7,7,3,3,12,8,4,6,1,1,0,0,1.71,4.13,4.34,1.71,4.13,4.34,1.96,1.78,1.96,1.78
E0,15/06/2024,15:00,Arsenal,Tottenham,2,0,H,0,0,D,Test Ref,18,20,10,8,19,8,7,6,1,0,0,0,3.84,2.69,1.84,3.84,2.69,1.84,2.14,2.14,2.14,2.14
E0,16/06/2024,15:00,Aston Villa,Man United,0,1,A,0,1,A,Test Ref,8,19,3,6,16,13,9,2,0,1,0,0,1.39,4.01,3.72,1.39,4.01,3.72,1.81,1.47,1.81,1.47
E0,01/06/2024,15:00,West Ham,Bournemouth,4,2,H,0,0,D,Test Ref,7,24,2,6,7,12,4,4,3,0,0,0,5.31,2.68,5.21,5.31,2.68,5.21,1.8,2.07,1.8,2.07
E0,18/06/2024,15:00,Brighton,Nott'm Forest,1,0,H,1,0,H,Test Ref,8,9,2,4,17,15,6,6,2,4,0,0,5.47,4.22,1.57,5.47,4.22,1.57,1.52,1.94,1.52,1.94
E0,11/06/2024,15:00,Crystal Palace,Southampton,3,0,H,1,0,H,Test Ref,14,5,6,2,7,12,5,8,2,4,0,0,2.15,2.55,1.3,2.15,2.55,1.3,2.08,2.13,2.08,2.13
